Date,Temperature ©,Turbidity (mg/l),pH,Dissolved Oxygen (mg/l),Dissolved Solids (mg/l)
27-04-16,19,13,7.3,2.8,375
28-04-16,19,12,7.21,2.1,370
29-04-16,19,14,7.27,2.3,369
30-04-16,19,12,7.21,2.4,360
1/5/2016,19,11,7.24,2.2,350
2/5/2016,20,23,7.49,3.6,382
3/5/2016,21,18,7.48,4.4,347
4/5/2016,22,19,7.74,4.5,392
5/5/2016,22,21,7.35,4.4,310
6/5/2016,22,25,7.19,4.6,327
7/5/2016,22,21,7.23,4.3,346
8/5/2016,22,23,7.42,4.64,359
9/5/2016,23,21,7.54,4.3,292
10/5/2016,23,24,7.32,4.5,267
11/5/2016,23,18,7.44,3.8,292
12/5/2016,21,14,7.28,2.4,270
13-05-16,23,21,7.45,3.6,282
14-05-16,23,18,7.38,2.4,270
15-05-16,23,20,7.15,3.4,282
16-05-16,23,25,7.35,3.7,324
17-05-16,23,27,7.55,3.6,348
18-05-16,23,29,7.15,3.3,382
19-05-16,23,32,7.35,3.6,395
20-05-16,24,30,7.14,3.3,367
21-05-16,24,33,7.33,3.9,392
22-05-16,23,30,7.25,3.1,360
23-05-16,23,28,7.19,3.6,294
