Date,Temperature ©,Turbidity (mg/l),pH,Dissolved Oxygen (mg/l),Dissolved Solids (mg/l)
26-05-20,23,14,7.18,6.1,320
27-05-20,23,11,7.2,5.9,323
28-05-20,23,8,7.16,5.8,325
29-05-20,23,10,7.22,5.6,316
30-05-20,20,15,7.19,5.8,334
31-05-20,21,18,7.39,5.9,290
1/6/2020,20,16,7.52,5.7,249
2/6/2020,25,19,7.45,5.9,225
3/6/2020,24,33,7.29,5.8,230
4/6/2020,25,40,7.29,5.7,260
5/6/2020,24,36,7.25,5.6,285
6/6/2020,25,33,7.29,5.9,267
7/6/2020,26,38,7.45,5.8,249
8/6/2020,25,35,7.29,5.9,219
9/6/2020,23,29,7.39,5.7,240
10/6/2020,24,37.29,7.61,5.6,276
11/6/2020,23,29,7.29,5.9,217
